Equipment,Failure Scenario,Failure Classification,ATS Alarm Description,FSCADA Alarm Description,HMI Alarm,Guidelines for the Chief Controller,Local Response
TMS,Failure of 1 TMS Central Control Unit (CCU),Minor,Train Control Minor Fault,None,Train Control Minor Fault,"• Train Entering service: Not allowed to enter service
• Train already in service: Exit at Terminus Station",Reset CCU
TMS,Failure of 2 TMS Central Control Unit (CCU),Major,Train Control Minor Fault,None,Train Control Major Fault,"• Train Entering service: Not allowed to enter service
• Train already in service: Immediate Train Withdrawal from service
• Note: Rescue Train may be required","Reset CCU. If not success, train need to be couple"
TMS,Failure of Single Multifunction Vehicle Bus (MVB) Network,Minor,Train control equipment minor fault,None,Train control equipment minor fault,"• Train Entering service: Not allowed to enter service
•Train already in service: Immediate Train Withdrawal from service
•Note: Rescue Train may be required",Check on HMI and identify which equipment causing alarm appear and reset if possible
TMS,Failure of Double Multifunction Vehicle Bus (MVB) Network,Major,Train control equipment minor fault,None,Train control equipment major fault,"• Train Entering service: Not allowed to enter service
• Train already in service: Immediate Train Withdrawal from service
• Note: Rescue Train may be required",Check on HMI and identify which equipment causing alarm appear and reset if possible
Power,Loss of DC Power by Train,Major,1st alarm appear Loss of traction energy and 3AC power supply faulty 2nd alarm appear (Normally after 1 hour) Low voltage battery (Loss of DC voltage),None,Loss of Traction Energy,"• Train Entering service: Not allowed to enter service
• Train already in service: Immediate Train Withdrawal from service
• Note: Permanent Loss of 750VDC onboard train due to Train fault. Rescue Train may be required","Qualified train driver verify the alarm, train withdrawal at terminus station"
Power,Failure of 1 Current Collector Shoe on 1 car on 1 side,Minor,Current collectors faulty,None,Current collectors faulty,"• Train Entering service: Not allowed to enter service
• Train already in service: Removal at End of Single Trip (to onboard)",Qualified train driver to verify the fault at the next station upon receiving the alarm
Power,Failure of 2 Current Collector Shoes on 1 car on 1 side,Major,Alarms on current collector system (Failure of two current collectors per side per car),None,Current collectors faulty,"• Train Entering service: Not allowed to enter service
• Train already in service: Immediate Train Withdrawal from service
• Note: Deploy qualified Train driver to verify the fault at the next station upon receiving the alarm",Disembark passenger and train withdrawal.
Power,Failure of 1 Auxiliary Inverter,Minor,None,None,APS Major Fault,"• Train Entering service: Not allowed to enter service
• Train already in service: Exit at Terminus station",None
Power,Failure of Both Auxiliary Inverter,Major,None,None,APS Major Fault,"• Train Entering service: Not allowed to enter service
• Train already in service: Immediate Train Withdrawal from service.","i. Single red APS alarm –Reset APS. If unsuccessful, immediate train removal . 
ii. Both APS Failure- Reset APS.If unsuccesful, immediate train removal."
Power,Failure of 1 Battery Charger,Minor,None,None,APS Major Fault,"• Train Entering service: Not allowed to enter service
• Train already in service: Exit at Terminus Station",Reset APS
